startIp,endIp,ipVersion,serviceName,serviceUrl
212.23.215.0,212.23.215.255,4,NordVPN,https://nordvpn.com
82.118.28.0,82.118.29.255,4,ExpressVPN,https://expressvpn.com
31.40.215.0,31.40.215.255,4,NordVPN,https://nordvpn.com
5.62.62.236,5.62.62.239,4,Hide My Ass VPN,https://hidemyass.com
45.134.188.0,45.134.189.255,4,NordVPN,https://nordvpn.com
185.81.124.0,185.81.125.255,4,NordVPN,https://nordvpn.com
212.199.61.0,212.199.61.63,4,Shared VPN Network with 2 known VPN providers,
185.104.184.0,185.104.184.255,4,Shared VPN Network with 3 known VPN providers,
146.70.128.0,146.70.128.255,4,MullvadVPN,https://mullvad.net
185.250.212.0,185.250.215.255,4,NordVPN,https://nordvpn.com
31.6.11.0,31.6.11.255,4,Shared VPN Network with 3 known VPN providers,
185.207.249.0,185.207.249.255,4,NordVPN,https://nordvpn.com
31.171.152.0,31.171.159.255,4,Shared VPN Network with 12 known VPN providers,
146.70.168.0,146.70.168.255,4,MullvadVPN,https://mullvad.net
45.10.153.0,45.10.153.255,4,NordVPN,https://nordvpn.com
92.119.16.72,92.119.16.79,4,Surfshark,https://surfshark.com
79.135.105.0,79.135.105.255,4,ProtonVPN,https://protonvpn.com
217.182.225.44,217.182.225.47,4,ibVPN,https://ibvpn.com
5.62.63.88,5.62.63.91,4,Hide My Ass VPN,https://hidemyass.com
141.255.162.192,141.255.162.255,4,Windscribe,https://windscribe.com
45.146.55.0,45.146.55.255,4,ExpressVPN,https://expressvpn.com
5.62.61.120,5.62.61.123,4,Hide My Ass VPN,https://hidemyass.com
138.199.6.0,138.199.6.255,4,Shared VPN Network with 3 known VPN providers,
79.127.187.0,79.127.187.255,4,ProtonVPN,https://protonvpn.com
5.62.58.108,5.62.58.111,4,Hide My Ass VPN,https://hidemyass.com
185.216.231.0,185.216.231.255,4,NordVPN,https://nordvpn.com
144.48.37.0,144.48.37.255,4,Shared VPN Network with 2 known VPN providers,
45.13.191.0,45.13.191.255,4,ExpressVPN,https://expressvpn.com
45.150.174.88,45.150.174.95,4,Surfshark,https://surfshark.com
79.127.128.0,79.127.191.255,4,Shared VPN Network with 9 known VPN providers,
84.239.42.0,84.239.42.255,4,Shared VPN Network with 2 known VPN providers,
178.218.167.192,178.218.167.255,4,ProtonVPN,https://protonvpn.com
45.88.96.0,45.88.99.255,4,Shared VPN Network with 2 known VPN providers,
216.131.74.0,216.131.75.255,4,IPVanish,https://ipvanish.com
86.104.22.0,86.104.23.255,4,NordVPN,https://nordvpn.com
45.129.85.0,45.129.85.255,4,ExpressVPN,https://expressvpn.com
92.119.36.0,92.119.36.127,4,ExpressVPN,https://expressvpn.com
45.94.211.0,45.94.211.255,4,NordVPN,https://nordvpn.com
185.238.28.16,185.238.28.23,4,Surfshark,https://surfshark.com
5.62.56.76,5.62.56.79,4,Hide My Ass VPN,https://hidemyass.com
31.222.254.0,31.222.254.255,4,NordVPN,https://nordvpn.com
216.131.84.0,216.131.85.255,4,IPVanish,https://ipvanish.com
91.230.225.0,91.230.225.255,4,ExpressVPN,https://expressvpn.com
5.62.61.8,5.62.61.11,4,Hide My Ass VPN,https://hidemyass.com
169.150.208.0,169.150.208.255,4,Shared VPN Network with 2 known VPN providers,
94.156.14.0,94.156.14.255,4,Private Internet Access,https://privateinternetaccess.com
193.148.16.0,193.148.19.255,4,Shared VPN Network with 6 known VPN providers,
103.214.47.128,103.214.47.191,4,NordVPN,https://nordvpn.com
103.155.232.0,103.155.233.255,4,ProtonVPN,https://protonvpn.com
64.238.203.192,64.238.203.255,4,IPVanish,https://ipvanish.com
194.59.6.0,194.59.6.255,4,ProtonVPN,https://protonvpn.com
185.212.149.0,185.212.149.255,4,Shared VPN Network with 3 known VPN providers,
84.239.17.128,84.239.17.255,4,Private Internet Access,https://privateinternetaccess.com
37.120.232.0,37.120.239.255,4,Shared VPN Network with 11 known VPN providers,
78.110.173.128,78.110.173.191,4,IPVanish,https://ipvanish.com
5.62.61.20,5.62.61.23,4,Hide My Ass VPN,https://hidemyass.com
84.21.168.0,84.21.171.255,4,NordVPN,https://nordvpn.com
5.62.62.40,5.62.62.43,4,Hide My Ass VPN,https://hidemyass.com
5.62.56.160,5.62.56.163,4,Hide My Ass VPN,https://hidemyass.com
84.239.7.0,84.239.7.127,4,Private Internet Access,https://privateinternetaccess.com
108.171.103.0,108.171.103.255,4,IPVanish,https://ipvanish.com
173.245.206.0,173.245.206.255,4,IPVanish,https://ipvanish.com
5.62.58.164,5.62.58.167,4,Hide My Ass VPN,https://hidemyass.com
45.134.76.0,45.134.79.255,4,Shared VPN Network with 2 known VPN providers,
5.62.61.56,5.62.61.59,4,Hide My Ass VPN,https://hidemyass.com
146.70.78.0,146.70.78.255,4,Shared VPN Network with 2 known VPN providers,
5.62.61.140,5.62.61.143,4,Hide My Ass VPN,https://hidemyass.com
191.96.103.0,191.96.103.255,4,Private Internet Access,https://privateinternetaccess.com
5.62.56.16,5.62.56.19,4,Hide My Ass VPN,https://hidemyass.com
129.232.134.96,129.232.134.127,4,Shared VPN Network with 2 known VPN providers,
91.239.130.102,91.239.130.102,4,Astrill,https://astrill.com
62.169.136.0,62.169.136.255,4,ProtonVPN,https://protonvpn.com
5.62.58.8,5.62.58.11,4,Hide My Ass VPN,https://hidemyass.com
146.70.163.0,146.70.163.255,4,Shared VPN Network with 2 known VPN providers,
5.62.58.208,5.62.58.211,4,Hide My Ass VPN,https://hidemyass.com
185.190.141.0,185.190.141.255,4,NordVPN,https://nordvpn.com
86.106.121.0,86.106.121.255,4,ProtonVPN,https://protonvpn.com
185.89.248.0,185.89.251.255,4,Hotspot Shield,https://www.hotspotshield.com
185.198.240.128,185.198.240.255,4,ExpressVPN,https://expressvpn.com
103.1.212.0,103.1.212.255,4,Shared VPN Network with 2 known VPN providers,
85.237.194.0,85.237.194.255,4,ExpressVPN,https://expressvpn.com
185.209.196.0,185.209.196.255,4,MullvadVPN,https://mullvad.net
5.62.59.28,5.62.59.31,4,Hide My Ass VPN,https://hidemyass.com
185.228.19.0,185.228.19.255,4,NordVPN,https://nordvpn.com
185.212.168.0,185.212.169.255,4,Shared VPN Network with 5 known VPN providers,
103.219.21.224,103.219.21.231,4,Hide.me VPN,https://hide.me
178.238.10.176,178.238.10.183,4,Surfshark,https://surfshark.com
103.216.220.0,103.216.223.255,4,Shared VPN Network with 4 known VPN providers,
5.62.61.116,5.62.61.119,4,Hide My Ass VPN,https://hidemyass.com
37.235.55.0,37.235.55.255,4,Shared VPN Network with 4 known VPN providers,
5.254.106.0,5.254.106.31,4,PureVPN,https://purevpn.com
194.233.100.0,194.233.103.255,4,NordVPN,https://nordvpn.com
5.62.57.96,5.62.57.99,4,Hide My Ass VPN,https://hidemyass.com
5.62.61.176,5.62.61.179,4,Hide My Ass VPN,https://hidemyass.com
193.36.224.0,193.36.225.255,4,ExpressVPN,https://expressvpn.com
82.149.83.0,82.149.83.255,4,NordVPN,https://nordvpn.com
89.252.132.0,89.252.132.255,4,Shared VPN Network with 3 known VPN providers,
212.112.19.0,212.112.19.15,4,CyberGhostVPN,https://cyberghostvpn.com
5.62.58.220,5.62.58.223,4,Hide My Ass VPN,https://hidemyass.com
185.217.2.0,185.217.2.255,4,Hotspot Shield,https://www.hotspotshield.com
36.255.204.0,36.255.204.127,4,IPVanish,https://ipvanish.com
45.67.97.0,45.67.97.255,4,ExpressVPN,https://expressvpn.com
37.28.156.232,37.28.156.239,4,Surfshark,https://surfshark.com
176.125.228.0,176.125.231.255,4,Shared VPN Network with 2 known VPN providers,
