startIp,endIp,ipVersion,serviceName,serviceUrl,exitNodeType,lastSeen,lastSeenStr,exitNodeRegion,hostname,countryCode,cityName,latitude,longitude
156.146.35.27,156.146.35.27,4,CyberGhostVPN,https://cyberghostvpn.com,vpn_server,1761315119045,2025-10-24T14:11:59.045Z,Japan,,,,,
181.215.182.40,181.215.182.40,4,Private Internet Access,https://privateinternetaccess.com,vpn_server,1761315181994,2025-10-24T14:13:01.994Z,,,,,,
45.133.176.20,45.133.176.20,4,ExpressVPN,https://expressvpn.com,exit_node,1761141191942,2025-10-22T13:53:11.942Z,,,,,,
79.135.105.190,79.135.105.190,4,ProtonVPN,https://protonvpn.com,exit_node,1761328352299,2025-10-24T17:52:32.299Z,,,,,,
185.250.39.95,185.250.39.95,4,NordVPN,https://nordvpn.com,exit_node,1757016929636,2025-09-04T20:15:29.636Z,Spain #253,,ES,Barcelona,41.398371,2.1741
37.19.212.17,37.19.212.17,4,NordVPN,https://nordvpn.com,vpn_server,1761315177504,2025-10-24T14:12:57.504Z,Canada #1490,,,,,
169.150.203.139,169.150.203.139,4,NordVPN,https://nordvpn.com,vpn_server,1761230810594,2025-10-23T14:46:50.594Z,"Los Angeles, United States",us10194.nordvpn.com,,,,
104.254.90.250,104.254.90.250,4,AirVPN,https://airvpn.org,vpn_server,1761315178622,2025-10-24T14:12:58.622Z,"Toronto, Ontario, Canada",,,,,
79.142.79.47,79.142.79.47,4,Private Internet Access,https://privateinternetaccess.com,exit_node,1758631897171,2025-09-23T12:51:37.171Z,,,,,,
128.1.160.204,128.1.160.204,4,Hotspot Shield,https://www.hotspotshield.com,exit_node,1756996442616,2025-09-04T14:34:02.616Z,,,,,,
31.171.154.142,31.171.154.142,4,Private Internet Access,https://privateinternetaccess.com,exit_node,1761030997199,2025-10-21T07:16:37.199Z,,,,,,
192.166.247.111,192.166.247.111,4,NordVPN,https://nordvpn.com,exit_node,1756976829602,2025-09-04T09:07:09.602Z,jp637,,JP,,,
212.15.84.210,212.15.84.210,4,NordVPN,https://nordvpn.com,exit_node,1758333945796,2025-09-20T02:05:45.796Z,United States #11969,,US,Nashville,36.1658333,-86.7844444
15.204.158.132,15.204.158.132,4,V2Ray,,vpn_server,1761315120072,2025-10-24T14:12:00.072Z,,,,,,
38.248.89.232,38.248.89.232,4,TunnelBear,https://tunnelbear.com,exit_node,1761328352033,2025-10-24T17:52:32.033Z,,,,,,
162.218.94.207,162.218.94.207,4,Hotspot Shield,https://www.hotspotshield.com,exit_node,1757068874239,2025-09-05T10:41:14.239Z,,,,,,
64.31.27.3,64.31.27.3,4,TunnelBear,https://tunnelbear.com,exit_node,1761328352063,2025-10-24T17:52:32.063Z,,,,,,
45.76.46.44,45.76.46.44,4,TunnelBear,https://tunnelbear.com,exit_node,1761328352016,2025-10-24T17:52:32.016Z,,,,,,
185.202.221.10,185.202.221.10,4,NordVPN,https://nordvpn.com,exit_node,1756939914578,2025-09-03T22:51:54.578Z,United States #9402,,US,Los Angeles,34.0522222,-118.2427778
79.127.150.146,79.127.150.146,4,Surfshark,https://surfshark.com,exit_node,1760685750644,2025-10-17T07:22:30.644Z,no-osl.prod.surfshark.com_udp.ovpn,,NO,oslo,59.91273,10.74609
173.239.200.140,173.239.200.140,4,CyberGhostVPN,https://cyberghostvpn.com,vpn_server,1761315119054,2025-10-24T14:11:59.054Z,Malaysia,,,,,
146.70.168.59,146.70.168.59,4,MullvadVPN,https://mullvad.net,exit_node,1760602956810,2025-10-16T08:22:36.810Z,mullvad_us_all,,US,,,
185.56.160.226,185.56.160.226,4,VPNFacile,https://vpnfacile.net,vpn_server,1761315119827,2025-10-24T14:11:59.827Z,Pays-Bas-4,,,,,
193.160.245.19,193.160.245.19,4,NordVPN,https://nordvpn.com,exit_node,1759218591087,2025-09-30T07:49:51.087Z,United Kingdom #1916,,GB,London,51.514125,-0.093689
188.214.122.78,188.214.122.78,4,CyberGhostVPN,https://cyberghostvpn.com,vpn_server,1761315119036,2025-10-24T14:11:59.036Z,Egypt,,,,,
65.20.101.216,65.20.101.216,4,TunnelBear,https://tunnelbear.com,exit_node,1761328351981,2025-10-24T17:52:31.981Z,,,,,,
185.169.235.46,185.169.235.46,4,NordVPN,https://nordvpn.com,vpn_server,1761315177504,2025-10-24T14:12:57.504Z,United Kingdom #2544,,,,,
185.239.148.38,185.239.148.38,4,NordVPN,https://nordvpn.com,exit_node,1761248322915,2025-10-23T19:38:42.915Z,pk2.nordvpn.com,,PK,,,
216.238.117.104,216.238.117.104,4,TunnelBear,https://tunnelbear.com,exit_node,1761328352227,2025-10-24T17:52:32.227Z,,,,,,
95.181.232.141,95.181.232.141,4,CyberGhostVPN,https://cyberghostvpn.com,vpn_server,1761315119050,2025-10-24T14:11:59.050Z,Morocco,,,,,
178.239.165.26,178.239.165.26,4,NordVPN,https://nordvpn.com,vpn_server,1761315177504,2025-10-24T14:12:57.504Z,Switzerland #340,,,,,
37.156.216.131,37.156.216.131,4,Windscribe,https://windscribe.com,vpn_server,1761315178129,2025-10-24T14:12:58.129Z,Lithuania,,,,,
37.120.153.47,37.120.153.47,4,TorGuard,https://torguard.net,vpn_server,1761315119755,2025-10-24T14:11:59.755Z,Sweden,,,,,
79.127.146.55,79.127.146.55,4,ProtonVPN,https://protonvpn.com,exit_node,1761232123863,2025-10-23T15:08:43.863Z,,,,,,
64.227.32.43,64.227.32.43,4,TunnelBear,https://tunnelbear.com,exit_node,1761328351998,2025-10-24T17:52:31.998Z,,,,,,
149.88.26.201,149.88.26.201,4,Private Internet Access,https://privateinternetaccess.com,vpn_server,1761230810595,2025-10-23T14:46:50.595Z,,israel.privacy.network,,,,
185.64.78.5,185.64.78.5,4,ExpressVPN,https://expressvpn.com,exit_node,1761252320439,2025-10-23T20:45:20.439Z,,,,,,
91.132.138.196,91.132.138.196,4,NordVPN,https://nordvpn.com,vpn_server,1761230810590,2025-10-23T14:46:50.590Z,"Zurich, Switzerland",se-ch11.nordvpn.com,,,,
185.76.11.24,185.76.11.24,4,ProtonVPN,https://protonvpn.com,exit_node,1761328352257,2025-10-24T17:52:32.257Z,,,,,,
77.36.115.21,77.36.115.21,4,ExpressVPN,https://expressvpn.com,exit_node,1761252309942,2025-10-23T20:45:09.942Z,,,,,,
62.133.46.28,62.133.46.28,4,CyberGhostVPN,https://cyberghostvpn.com,vpn_server,1761315119044,2025-10-24T14:11:59.044Z,Iran,,,,,
176.67.80.132,176.67.80.132,4,IPVanish,https://ipvanish.com,vpn_server,1761315146339,2025-10-24T14:12:26.339Z,ipvanish-NL-Amsterdam-ams-a22,,,,,
211.221.198.244,211.221.198.244,4,PublicOvpnConfigs,,exit_node,1761328352313,2025-10-24T17:52:32.313Z,,,,,,
103.251.26.223,103.251.26.223,4,MullvadVPN,https://mullvad.net,exit_node,1757140884248,2025-09-06T06:41:24.248Z,us-lax-wg-702,,us,Los Angeles,34.05223,-118.24368
146.70.245.151,146.70.245.151,4,ProtonVPN,https://protonvpn.com,exit_node,1761202052541,2025-10-23T06:47:32.541Z,,,,,,
149.40.50.22,149.40.50.22,4,Private Internet Access,https://privateinternetaccess.com,vpn_server,1761230810595,2025-10-23T14:46:50.595Z,,us-massachusetts-pf.privacy.network,,,,
68.183.222.91,68.183.222.91,4,TunnelBear,https://tunnelbear.com,exit_node,1761328352241,2025-10-24T17:52:32.241Z,,,,,,
92.249.29.44,92.249.29.44,4,Hotspot Shield,https://www.hotspotshield.com,exit_node,1757031228925,2025-09-05T00:13:48.925Z,,,,,,
91.193.6.167,91.193.6.167,4,Private Internet Access,https://privateinternetaccess.com,vpn_server,1761230810595,2025-10-23T14:46:50.595Z,,ca-montreal.privacy.network,,,,
91.207.173.101,91.207.173.101,4,FastestVPN,https://fastestvpn.com,vpn_server,1761230810588,2025-10-23T14:46:50.588Z,"Bucharest, Romania",sg-dvpn.jumptoserver.com,,,,
185.141.119.55,185.141.119.55,4,Surfshark,https://surfshark.com,exit_node,1758913459930,2025-09-26T19:04:19.930Z,us-dtw.prod.surfshark.com_udp.ovpn,,US,detroit,42.33143,-83.04575
193.160.101.59,193.160.101.59,4,NordVPN,https://nordvpn.com,exit_node,1756911893695,2025-09-03T15:04:53.695Z,fi191.nordvpn.com,,FI,,,
194.5.48.159,194.5.48.159,4,ExpressVPN,https://expressvpn.com,exit_node,1758116766929,2025-09-17T13:46:06.929Z,Japan - Yokohama,,JP,Yokohama,35.43333,139.65
84.239.7.4,84.239.7.4,4,Private Internet Access,https://privateinternetaccess.com,vpn_server,1761230810595,2025-10-23T14:46:50.595Z,,us-north-carolina-pf.privacy.network,,,,
146.70.199.62,146.70.199.62,4,MullvadVPN,https://mullvad.net,exit_node,1760913565259,2025-10-19T22:39:25.259Z,sg-sin-ovpn-102,,sg,Singapore,1.28967,103.85007
195.177.95.3,195.177.95.3,4,ProtonVPN,https://protonvpn.com,exit_node,1761015352766,2025-10-21T02:55:52.766Z,ge,,GE,,,
194.26.131.37,194.26.131.37,4,Surfshark,https://surfshark.com,exit_node,1760641231577,2025-10-16T19:00:31.577Z,py-asu.prod.surfshark.com_udp.ovpn,,PY,asuncion,-25.28646,-57.647
185.225.234.14,185.225.234.14,4,NordVPN,https://nordvpn.com,exit_node,1758165442187,2025-09-18T03:17:22.187Z,Hong Kong #271,,HK,Hong Kong,22.2833333,114.15
