ipVersion,startIp,endIp,datacenter,domain
6,2a0a:4940:141:0:0:0:0:0,2a0a:4940:141:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:886a:0:0:0:0:0,2a0a:4940:886a:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:92f3:0:0:0:0:0,2a0a:4940:92f3:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:df5c:0:0:0:0:0,2a0a:4940:df5c:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2001:550:2:48:0:0:96:0,2001:550:2:48:0:0:96:ffff,FDC Servers.NET LLC,www.fdcservers.net
6,2a0e:97c0:4b95:0:0:0:0:0,2a0e:97c0:4b95:ffff:ffff:ffff:ffff:ffff,4b42 UG,www.4b42.com
6,2a0a:4940:c80a:0:0:0:0:0,2a0a:4940:c80a:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:5fbb:0:0:0:0:0,2a0a:4940:5fbb:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:9a70:0:0:0:0:0,2a0a:4940:9a70:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a01:4f8:212:138d:0:0:0:0,2a01:4f8:212:138d:ffff:ffff:ffff:ffff,Timme Hosting GmbH & Co. KG,hetzner.com
6,2001:978:2:6e:0:0:10:0,2001:978:2:6e:0:0:10:ffff,servinga GmbH,www.servinga.com
6,2a0a:4940:4cfc:0:0:0:0:0,2a0a:4940:4cfc:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a00:11c0:5:656:0:0:0:0,2a00:11c0:5:656:ffff:ffff:ffff:ffff,powered by ANX,anx.io
6,2a0e:97c0:4b79:0:0:0:0:0,2a0e:97c0:4b79:ffff:ffff:ffff:ffff:ffff,4b42 UG,www.4b42.com
6,2a0a:4940:ea10:0:0:0:0:0,2a0a:4940:ea10:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
